Transaction_ID,Transaction_Date,Member_ID,Product_ID,Store_ID,Quantity,Amount
1,2024/5/1 0:00,21,25,12,3,5820
2,2024/5/1 2:55,107,23,17,1,640
3,2024/5/1 5:51,117,24,6,3,1270
4,2024/5/1 8:47,124,38,1,3,5980
5,2024/5/1 11:43,281,28,5,4,9390
6,2024/5/1 14:39,292,21,14,4,8730
7,2024/5/1 17:35,203,43,5,3,9830
8,2024/5/1 20:30,51,18,1,4,5510
9,2024/5/1 23:26,271,36,18,2,7990
10,2024/5/2 2:22,277,35,16,4,8480
11,2024/5/2 5:18,141,45,9,4,6660
12,2024/5/2 8:14,275,9,19,4,3720
13,2024/5/2 11:10,290,38,5,4,4960
14,2024/5/2 14:06,52,30,2,1,8650
15,2024/5/2 17:01,27,44,15,1,3340
16,2024/5/2 19:57,157,34,7,1,9280
17,2024/5/2 22:53,239,32,4,3,2680
18,2024/5/3 1:49,156,3,1,3,7620
19,2024/5/3 4:45,291,3,13,2,6490
20,2024/5/3 7:41,136,28,20,1,7620
21,2024/5/3 10:37,144,44,7,3,4650
22,2024/5/3 13:32,106,15,15,4,9360
23,2024/5/3 16:28,158,41,14,4,6510
24,2024/5/3 19:24,146,23,19,1,3240
25,2024/5/3 22:20,2,40,20,2,6570
26,2024/5/4 1:16,77,11,18,2,3220
27,2024/5/4 4:12,132,48,10,4,3290
28,2024/5/4 7:08,90,32,9,2,4300
29,2024/5/4 10:03,263,36,8,1,8600
30,2024/5/4 12:59,108,33,10,4,5250
31,2024/5/4 15:55,74,24,17,3,6950
32,2024/5/4 18:51,39,39,2,3,4220
33,2024/5/4 21:47,159,34,6,2,3000
34,2024/5/5 0:43,71,28,5,4,9570
35,2024/5/5 3:39,241,37,9,4,6230
36,2024/5/5 6:34,298,7,5,3,9370
37,2024/5/5 9:30,36,4,18,4,2430
38,2024/5/5 12:26,84,37,20,4,1900
39,2024/5/5 15:22,263,1,9,4,8630
40,2024/5/5 18:18,172,1,17,2,6970
41,2024/5/5 21:14,173,47,17,4,2270
42,2024/5/6 0:10,47,20,12,1,3060
43,2024/5/6 3:05,141,19,7,2,8110
44,2024/5/6 6:01,118,29,3,4,4810
45,2024/5/6 8:57,277,10,10,4,6870
46,2024/5/6 11:53,214,18,2,1,3520
47,2024/5/6 14:49,220,28,3,2,4120
48,2024/5/6 17:45,26,35,16,3,9910
49,2024/5/6 20:41,9,43,2,3,2850
50,2024/5/6 23:36,271,47,10,2,5310
51,2024/5/7 2:32,10,31,6,4,8520
52,2024/5/7 5:28,121,27,11,4,2770
53,2024/5/7 8:24,125,11,7,3,4440
54,2024/5/7 11:20,170,49,15,3,6340
55,2024/5/7 14:16,72,49,6,3,5070
56,2024/5/7 17:12,152,38,20,1,4870
57,2024/5/7 20:07,208,5,9,3,3940
58,2024/5/7 23:03,49,8,20,1,6070
59,2024/5/8 1:59,154,34,12,2,6430
60,2024/5/8 4:55,293,48,19,4,6710
61,2024/5/8 7:51,68,12,20,3,1170
62,2024/5/8 10:47,50,38,3,4,6490
63,2024/5/8 13:43,152,1,15,4,9560
64,2024/5/8 16:38,19,31,2,3,5640
65,2024/5/8 19:34,100,4,2,3,7300
66,2024/5/8 22:30,60,49,3,2,5790
67,2024/5/9 1:26,167,45,6,1,8620
68,2024/5/9 4:22,202,50,15,1,9330
69,2024/5/9 7:18,146,5,10,4,2250
70,2024/5/9 10:14,164,30,9,3,4650
71,2024/5/9 13:09,242,24,1,2,4230
72,2024/5/9 16:05,69,3,16,2,4350
73,2024/5/9 19:01,175,11,6,2,1690
74,2024/5/9 21:57,49,45,9,2,8230
75,2024/5/10 0:53,108,4,4,2,840
76,2024/5/10 3:49,226,26,2,1,5520
77,2024/5/10 6:45,161,27,4,1,6790
78,2024/5/10 9:40,119,46,1,1,2470
79,2024/5/10 12:36,149,43,19,3,9110
80,2024/5/10 15:32,150,27,10,4,8470
81,2024/5/10 18:28,293,42,15,2,4980
82,2024/5/10 21:24,143,50,19,3,4410
83,2024/5/11 0:20,160,6,16,2,2750
84,2024/5/11 3:16,11,15,4,1,7430
85,2024/5/11 6:11,138,30,2,3,1750
86,2024/5/11 9:07,78,42,13,1,6960
87,2024/5/11 12:03,77,37,1,2,8500
88,2024/5/11 14:59,254,37,17,2,2670
89,2024/5/11 17:55,258,42,13,4,8730
90,2024/5/11 20:51,291,37,4,2,820
91,2024/5/11 23:47,263,35,7,1,9170
92,2024/5/12 2:42,85,23,17,2,1620
93,2024/5/12 5:38,146,6,9,4,6630
94,2024/5/12 8:34,42,4,4,4,2880
95,2024/5/12 11:30,125,18,19,1,8450
96,2024/5/12 14:26,167,9,1,3,5370
97,2024/5/12 17:22,241,49,10,2,1780
98,2024/5/12 20:18,280,29,4,4,5920
99,2024/5/12 23:13,188,13,9,2,4370
100,2024/5/13 2:09,19,47,13,2,6780
101,2024/5/13 5:05,68,17,14,3,8880
102,2024/5/13 8:01,218,45,10,4,4390
103,2024/5/13 10:57,102,32,6,2,3250
104,2024/5/13 13:53,42,48,16,4,640
105,2024/5/13 16:49,288,22,6,1,5960
106,2024/5/13 19:44,167,4,17,1,4320
107,2024/5/13 22:40,109,5,10,2,4060
108,2024/5/14 1:36,36,37,18,4,2240
109,2024/5/14 4:32,232,41,18,2,4590
110,2024/5/14 7:28,229,49,3,4,9850
111,2024/5/14 10:24,164,13,20,4,3330
112,2024/5/14 13:20,73,34,15,3,6200
113,2024/5/14 16:15,136,45,15,3,7880
114,2024/5/14 19:11,70,22,4,3,7620
115,2024/5/14 22:07,196,23,9,2,3620
116,2024/5/15 1:03,269,3,19,3,6300
117,2024/5/15 3:59,49,42,17,3,8780
118,2024/5/15 6:55,130,34,11,1,650
119,2024/5/15 9:50,5,32,9,4,4640
120,2024/5/15 12:46,27,45,10,4,2630
121,2024/5/15 15:42,160,49,18,3,4190
122,2024/5/15 18:38,149,21,20,4,4450
123,2024/5/15 21:34,264,46,13,1,7590
124,2024/5/16 0:30,230,44,8,1,1390
125,2024/5/16 3:26,200,21,7,3,5370
126,2024/5/16 6:21,50,44,17,1,5860
127,2024/5/16 9:17,67,11,15,4,5190
128,2024/5/16 12:13,300,39,20,2,7450
129,2024/5/16 15:09,58,4,15,4,4150
130,2024/5/16 18:05,259,1,1,2,9480
131,2024/5/16 21:01,130,28,14,3,5080
132,2024/5/16 23:57,215,24,5,2,5930
133,2024/5/17 2:52,172,35,11,1,8340
134,2024/5/17 5:48,258,13,16,4,3110
135,2024/5/17 8:44,102,47,2,2,1210
136,2024/5/17 11:40,209,34,8,4,7220
137,2024/5/17 14:36,291,11,11,3,5090
138,2024/5/17 17:32,286,36,18,3,9020
139,2024/5/17 20:28,116,17,3,1,9840
140,2024/5/17 23:23,264,35,1,3,4290
141,2024/5/18 2:19,150,18,11,2,4450
142,2024/5/18 5:15,300,40,16,3,4380
143,2024/5/18 8:11,36,22,18,1,3580
144,2024/5/18 11:07,287,24,16,4,7930
145,2024/5/18 14:03,208,19,10,4,7710
146,2024/5/18 16:59,106,37,18,3,5050
147,2024/5/18 19:54,158,39,6,2,920
148,2024/5/18 22:50,121,21,19,1,3440
149,2024/5/19 1:46,55,8,4,2,3280
150,2024/5/19 4:42,12,28,13,1,8210
151,2024/5/19 7:38,145,5,14,3,1330
152,2024/5/19 10:34,136,17,3,1,8150
153,2024/5/19 13:30,3,37,10,1,6860
154,2024/5/19 16:25,144,36,6,3,7460
155,2024/5/19 19:21,30,19,1,2,4610
156,2024/5/19 22:17,237,27,14,3,6960
157,2024/5/20 1:13,279,34,8,1,6290
158,2024/5/20 4:09,115,11,19,3,7810
