Member_ID,Gender,Age,Days_Since_Registration,Age_Group,group_kainin,Transaction_ID,Transaction_Date,Product_ID,Store_ID,Quantity,Amount,Amount_flag,Quantity_flag,Total2,Amount_pct,Quantity_label,Female,Male,Amount_Stead
1,Male,69,730,66-,2年〜,786,2024-08-04 20:46:00,35,8,3,6150,1,1,9970,2,Medium,False,True,0.2921841130865716
1,Male,69,730,66-,2年〜,943,2024-08-24 00:56:00,4,1,2,3820,1,0,9970,2,Low,False,True,-0.5468976438515089
2,Female,18,958,-30,2年〜,25,2024-05-03 22:20:00,40,20,2,6570,1,0,23480,3,Low,True,False,0.4434349018908608
2,Female,18,958,-30,2年〜,644,2024-07-18 12:35:00,29,3,2,8570,1,0,23480,3,Low,True,False,1.1636767533398569
2,Female,18,958,-30,2年〜,851,2024-08-12 19:17:00,20,4,4,1970,0,1,23480,3,high,True,False,-1.2131213564418302
2,Female,18,958,-30,2年〜,988,2024-08-29 12:49:00,14,18,4,6370,1,1,23480,3,high,True,False,0.3714107167459612
3,Male,66,1976,66-,2年〜,153,2024-05-19 13:30:00,37,10,1,6860,1,0,20440,3,Low,False,True,0.5478699703509653
3,Male,66,1976,66-,2年〜,440,2024-06-23 14:40:00,44,20,4,7050,1,1,20440,3,high,False,True,0.6162929462386199
3,Male,66,1976,66-,2年〜,458,2024-06-25 19:26:00,36,13,1,1510,0,0,20440,3,Low,False,True,-1.3787769822750993
3,Male,66,1976,66-,2年〜,504,2024-07-01 10:15:00,38,20,2,5020,1,0,20440,3,Low,False,True,-0.11475253298211117
4,Female,49,1881,31-50,2年〜,501,2024-07-01 01:27:00,25,2,2,3610,1,0,5210,1,Low,True,False,-0.6225230382536534
4,Female,49,1881,31-50,2年〜,791,2024-08-05 11:26:00,7,8,1,1600,0,0,5210,1,Low,True,False,-1.3463660989598945
5,Male,69,269,66-,〜1年,119,2024-05-15 09:50:00,32,9,4,4640,1,1,18140,3,high,False,True,-0.2515984847574204
5,Male,69,269,66-,〜1年,161,2024-05-20 12:56:00,12,17,4,6610,1,1,18140,3,high,False,True,0.45783973891984076
5,Male,69,269,66-,〜1年,243,2024-05-30 13:17:00,8,5,3,3380,1,1,18140,3,Medium,False,True,-0.705350851170288
5,Male,69,269,66-,〜1年,643,2024-07-18 09:39:00,6,14,4,3510,1,1,18140,3,high,False,True,-0.6585351308261033
7,Male,76,1889,66-,2年〜,201,2024-05-25 10:11:00,35,18,2,2820,1,0,7510,1,Low,False,True,-0.9070185695760069
7,Male,76,1889,66-,2年〜,274,2024-06-03 08:08:00,30,19,4,4090,1,1,7510,1,high,False,True,-0.4496649939058944
7,Male,76,1889,66-,2年〜,605,2024-07-13 18:16:00,49,7,4,600,0,1,7510,1,high,False,True,-1.7064870246843926
8,Male,73,111,66-,〜1年,344,2024-06-11 21:18:00,23,12,2,7750,1,0,38970,4,Low,False,True,0.8683775942457685
8,Male,73,111,66-,〜1年,362,2024-06-14 02:03:00,18,14,3,8040,1,1,38970,4,Medium,False,True,0.972812662705873
8,Male,73,111,66-,〜1年,696,2024-07-24 20:59:00,30,7,4,9220,1,1,38970,4,high,False,True,1.3977553550607806
8,Male,73,111,66-,〜1年,715,2024-07-27 04:41:00,42,17,3,1000,0,1,38970,4,Medium,False,True,-1.5624386543945934
8,Male,73,111,66-,〜1年,875,2024-08-15 17:38:00,39,12,3,5650,1,1,38970,4,Medium,False,True,0.11212365022432261
8,Male,73,111,66-,〜1年,954,2024-08-25 09:10:00,4,3,2,7310,1,0,38970,4,Low,False,True,0.7099243869269893
9,Male,48,1640,31-50,2年〜,49,2024-05-06 20:41:00,43,2,3,2850,1,1,2850,1,Medium,False,True,-0.896214941804272
